Model,RMSE,MAE,R2,NMSE,elapsed
ESN,0.015790992255217295,0.01141555422309471,0.9433089256936953,0.05669107430630468,
QRC 5q L2 rand,0.04379633166469589,0.03310098287423013,0.5639148299177791,0.4360851700822209,12.645250797271729
Ridge,0.044631779119675745,0.033769012795392336,0.5471188505301667,0.4528811494698332,
QRC 5q L3 all-,0.04472303100188359,0.03396484347481816,0.5452650815381557,0.45473491846184433,25.525455951690674
QRC 10q L2 rand,0.044832031130189506,0.0335249592361363,0.5430457969630709,0.4569542030369292,40.45365571975708
QRC 10q L3 rand,0.045020549794346575,0.033945685330834946,0.53919473278739,0.46080526721261,58.32534575462341
QRC 5q L2 all-,0.04507994878373142,0.03381284114429715,0.5379779807108384,0.46202201928916165,18.03728175163269
QRC 5q L3 rand,0.045334158752668524,0.03415592459757827,0.5327525195594667,0.46724748044053327,17.461601734161377
AR(5),0.054777872724495955,0.04062313715542419,0.3178087084442842,0.6821912915557158,
Persistence,0.1754809920119848,0.1625038962125445,-6.000934390418259,7.000934390418259,
