Model,RMSE,MAE,R2,NMSE,elapsed,evolution_time,input_scale,n_qubits,connectivity
ANN 10q a2a t=2.0 sc=1.0,0.009427476459156967,0.006034964844387707,0.9798732679480715,0.020126732051928487,214.67721700668335,2.0,1.0,10,all-to-all
ANN 10q a2a t=2.0 sc=2.0,0.009461559711596335,0.005960252086582404,0.9797274761201806,0.020272523879819322,215.5579605102539,2.0,2.0,10,all-to-all
ANN 10q a2a t=1.5 sc=2.0,0.009527191838051823,0.006064783154009326,0.9794452512777461,0.020554748722253928,218.45934772491455,1.5,2.0,10,all-to-all
ANN 12q rand t=2.0 sc=1.0,0.00952761700179084,0.006146269720350725,0.979443416670242,0.020556583329757943,208.91344237327576,2.0,1.0,12,random
ANN 10q a2a t=1.5 sc=3.0,0.009537530827043542,0.006011922961229067,0.9794006146972948,0.020599385302705168,218.35149359703064,1.5,3.0,10,all-to-all
ANN 10q a2a t=1.0 sc=3.0,0.00954346607833579,0.006102013092615021,0.9793749685268688,0.02062503147313121,217.85494089126587,1.0,3.0,10,all-to-all
ANN 10q a2a t=1.0 sc=1.0,0.009569107709687443,0.006112600872704491,0.9792639878986718,0.020736012101328298,217.63262128829956,1.0,1.0,10,all-to-all
ANN 10q a2a t=1.0 sc=2.0,0.009571878584360883,0.006134139790494403,0.9792519773306557,0.02074802266934433,214.2166302204132,1.0,2.0,10,all-to-all
ANN 10q a2a t=0.5 sc=3.0,0.009586914187790384,0.006110918173905945,0.9791867437294863,0.020813256270513617,209.82762694358826,0.5,3.0,10,all-to-all
ANN 10q a2a t=1.5 sc=1.0,0.009593132332186656,0.0061423902912412,0.9791597357054971,0.020840264294502895,217.32191562652588,1.5,1.0,10,all-to-all
ANN 10q a2a t=0.5 sc=2.0,0.009598800935162324,0.006114306536476186,0.979135099312863,0.02086490068713703,203.1184868812561,0.5,2.0,10,all-to-all
ANN 10q a2a t=0.5 sc=1.0,0.009605869834944637,0.006115673570061061,0.9791043566811385,0.020895643318861557,205.13388872146606,0.5,1.0,10,all-to-all
ANN 10q a2a t=2.0 sc=3.0,0.00961722136472676,0.006090378831067392,0.9790549415478799,0.020945058452120174,215.80331873893738,2.0,3.0,10,all-to-all
ANN 12q all- t=2.0 sc=1.0,0.009617932993977346,0.006131413940166229,0.9790518417611246,0.02094815823887537,425.69398045539856,2.0,1.0,12,all-to-all
