Model,RMSE,MAE,R2,NMSE,elapsed
Persistence,0.009407577664698396,0.005571965173677947,0.9799581822077177,0.02004181779228231,
AR(5),0.009539019641698569,0.00594838653359514,0.9793942241682598,0.020605775831740183,
ANN 10q/10in t=1.0 m=3 all-,0.009569132715633335,0.0061126171260905025,0.9792639209114408,0.02073607908855919,217.40896558761597
ANN 10q/10in t=1.0 m=3 rand,0.009610693799773687,0.006104216066252763,0.9790834060230476,0.020916593976952395,107.37236261367798
QRC v3 best,0.009669629575187043,0.006219090300506404,0.9788260852778701,0.021173914722129882,
ANN 6q/6in t=2.0 m=4 rand,0.00970011639003774,0.006198149590202922,0.978692358782496,0.021307641217503923,50.00719714164734
ESN,0.009704423764858555,0.0063711643506992495,0.9786734310972572,0.021326568902742808,
ANN 8q/8in t=1.0 m=3 rand,0.009744521768974015,0.006266170331482468,0.9784968271928024,0.021503172807197567,63.957303047180176
Ridge,0.009760193752338117,0.006278423524602662,0.9784276050454928,0.021572394954507204,
ANN 8q/4in t=1.0 m=3 rand,0.009836666668405441,0.0062933853666405845,0.9780882333367081,0.021911766663291858,63.61230134963989
ANN 10q/5in t=1.0 m=3 rand,0.009847859535474299,0.006333727086855688,0.9780383393971348,0.02196166060286515,106.41763424873352
ANN 6q/6in t=1.0 m=3 rand,0.009879242330648798,0.006324971298684701,0.9778981431480688,0.022101856851931268,34.09740877151489
ANN 6q/6in t=0.5 m=3 rand,0.0098861720623966,0.006336497431107739,0.9778671258593906,0.022132874140609337,34.295384883880615
