Model,RMSE,MAE,R2,NMSE,elapsed
Persistence,0.00940757387859388,0.00557195850064243,0.9799580445208965,0.020041955479103465,
ESN,0.009833630825092556,0.006575409614110814,0.978101588230216,0.02189841176978401,
QRC 5q L2 rand,0.020224730422892905,0.015766645189054893,0.9073702907038347,0.09262970929616528,12.63489294052124
QRC 10q L2 rand,0.02098147098774216,0.01601188235467803,0.9003088321613811,0.09969116783861884,40.23875403404236
QRC 5q L3 rand,0.021144102105683744,0.016467882329010374,0.8987573946508695,0.10124260534913058,17.665440320968628
QRC 5q L3 all-,0.0211723881184662,0.016241928493796878,0.8984863341784559,0.1015136658215441,25.823030471801758
QRC 5q L2 all-,0.021291384591677693,0.016397819215753374,0.8973420405371968,0.10265795946280318,18.013019323349
Ridge,0.021550883157905387,0.01654443158470331,0.8948244086434279,0.10517559135657205,
QRC 10q L3 rand,0.02177779620965386,0.016721591678508826,0.8925979237808266,0.10740207621917346,57.859546184539795
AR(5),0.02567645299682662,0.020001671699599058,0.8507016953378712,0.14929830466212882,
