qubits,layers,connectivity,seed,strength,alpha,validation_RMSE,validation_GARCH_RMSE,validation_gain_vs_GARCH_%,test_GARCH_RMSE,test_gain_vs_GARCH_%,cx_count,depth,elapsed,data_source,RMSE,MAE,R2,NMSE,QLIKE,validation_rank
5,3,random,47,0.7750000000000001,100.0,0.0059578191105836365,0.0064638883343386445,7.829176458178818,0.008321105204870878,-0.9154307015238516,24,34,7.199397087097168,yfinance:SPY:2010-01-01:2024-12-31,0.008397279156622365,0.0043807951118509025,0.9569133672965252,0.043086632703474834,0.017749607599376768,1
5,2,random,46,0.7750000000000001,100.0,0.005960450901884527,0.0064638883343386445,7.788461161676717,0.008321105204870878,-1.0281352186498118,16,27,4.384860038757324,yfinance:SPY:2010-01-01:2024-12-31,0.008406657418063058,0.004592853055845673,0.956817073404212,0.04318292659578809,0.01786485501674292,2
5,2,random,44,0.875,100.0,0.005966160711954325,0.0064638883343386445,7.700127177943345,0.008321105204870878,-0.477180222635247,16,30,4.525939702987671,yfinance:SPY:2010-01-01:2024-12-31,0.008360811873213194,0.004456081832053549,0.957286783646865,0.04271321635313502,0.018023621596306418,3
5,3,linear,44,0.875,100.0,0.0060093596372317835,0.0064638883343386445,7.031815427445287,0.008321105204870878,-2.9198731525350103,24,37,7.33729100227356,yfinance:SPY:2010-01-01:2024-12-31,0.008564070921742096,0.004735285238375025,0.9551847438660901,0.04481525613390995,0.018466043167324333,4
5,3,random,40,1.1500000000000001,100.0,0.0060119204364507735,0.0064638883343386445,6.992198418509875,0.008321105204870878,-5.030202271518926,24,40,7.093188762664795,yfinance:SPY:2010-01-01:2024-12-31,0.008739673627901772,0.0047309152086857575,0.9533280655213123,0.046671934478687706,0.018727938542026465,5
5,2,linear,41,0.925,100.0,0.006019605973704093,0.0064638883343386445,6.873298820376489,0.008321105204870878,-3.2208541418239793,16,27,4.376676797866821,yfinance:SPY:2010-01-01:2024-12-31,0.008589115866507492,0.004906668815868353,0.9549222432858923,0.04507775671410769,0.017825481881304936,6
5,2,random,43,0.925,100.0,0.006028195994761852,0.0064638883343386445,6.740406347402822,0.008321105204870878,-2.8813160959592494,16,33,4.841676235198975,yfinance:SPY:2010-01-01:2024-12-31,0.008560862548500525,0.004716718767607059,0.9552183160157992,0.04478168398420075,0.017897330277816082,7
5,2,random,47,0.9000000000000001,100.0,0.006032494662684981,0.0064638883343386445,6.673903528963142,0.008321105204870878,-2.572937941738675,16,24,4.535221099853516,yfinance:SPY:2010-01-01:2024-12-31,0.008535202077858992,0.004687568494735223,0.955486372391287,0.044513627608713,0.018050723998630894,8
5,3,linear,46,0.825,100.0,0.006036839116052177,0.0064638883343386445,6.606692383867755,0.008321105204870878,-1.2083389729051475,24,37,6.437268495559692,yfinance:SPY:2010-01-01:2024-12-31,0.008421652362037771,0.004442008702619837,0.9566628853534814,0.04333711464651853,0.018069390478531133,9
5,2,linear,44,0.9500000000000002,100.0,0.006040195722405147,0.0064638883343386445,6.554763789508562,0.008321105204870878,-2.471663311804954,16,27,4.350329399108887,yfinance:SPY:2010-01-01:2024-12-31,0.008526774909356364,0.004617039934281344,0.9555742293978886,0.0444257706021114,0.01824339315078236,10
5,3,linear,40,0.875,100.0,0.0060550783886799036,0.0064638883343386445,6.324520544189887,0.008321105204870878,-1.6340629496509145,24,37,6.09412693977356,yfinance:SPY:2010-01-01:2024-12-31,0.008457077302025147,0.0044906455774109105,0.9562975310281733,0.04370246897182673,0.018332914153584557,11
5,2,random,40,0.8500000000000001,100.0,0.006056514520069907,0.0064638883343386445,6.302302781200785,0.008321105204870878,-0.6405463757821008,16,27,4.529240846633911,yfinance:SPY:2010-01-01:2024-12-31,0.008374405742685694,0.004428838539236159,0.9571477756349346,0.04285222436506542,0.017414217525015718,12
5,2,linear,43,0.9750000000000001,100.0,0.006064941004622045,0.0064638883343386445,6.171940310250086,0.008321105204870878,-2.3877459125467753,16,27,6.212238550186157,yfinance:SPY:2010-01-01:2024-12-31,0.008519792054278899,0.004537096813326379,0.9556469630391503,0.04435303696084973,0.018589497468303674,13
5,2,random,42,0.825,100.0,0.006070665999888196,0.0064638883343386445,6.083371402960371,0.008321105204870878,-1.7559835422680998,16,24,4.422250747680664,yfinance:SPY:2010-01-01:2024-12-31,0.008467222442803225,0.004607269401453899,0.9561926168558226,0.04380738314417741,0.01767122383999169,14
5,3,random,43,0.9750000000000001,100.0,0.0060794641010817755,0.0064638883343386445,5.947259812869302,0.008321105204870878,-4.813214855452047,24,49,6.2382776737213135,yfinance:SPY:2010-01-01:2024-12-31,0.008721617876729516,0.004744662603390309,0.9535207103237776,0.04647928967622239,0.018488176477260178,15
5,2,random,45,0.75,100.0,0.006093998220951468,0.0064638883343386445,5.722408777116075,0.008321105204870878,0.10135070394065344,16,27,4.87693977355957,yfinance:SPY:2010-01-01:2024-12-31,0.008312671706170099,0.004554571855409106,0.9577772388109328,0.04222276118906725,0.016762520192717664,16
5,2,linear,40,0.925,100.0,0.006097325086120052,0.0064638883343386445,5.670940295661802,0.008321105204870878,-3.9012457828126887,16,27,4.67418909072876,yfinance:SPY:2010-01-01:2024-12-31,0.00864573197075931,0.0045718332118792815,0.9543260146806367,0.045673985319363286,0.018679155766318685,17
5,3,linear,41,0.8500000000000001,100.0,0.006099992942666902,0.0064638883343386445,5.629667049453669,0.008321105204870878,-4.5807652572195785,24,37,6.174940824508667,yfinance:SPY:2010-01-01:2024-12-31,0.008702275501112293,0.004973908054300891,0.9537266406892151,0.04627335931078493,0.018582461436342488,18
5,3,linear,45,0.925,100.0,0.006109615021228575,0.0064638883343386445,5.480808064521077,0.008321105204870878,-4.732070452165005,24,37,7.1840715408325195,yfinance:SPY:2010-01-01:2024-12-31,0.008714865765564137,0.004656023199518842,0.9535926492354129,0.046407350764587164,0.018668940256864032,19
5,1,random,45,1.0750000000000002,100.0,0.006126086650276015,0.0064638883343386445,5.225982668482967,0.008321105204870878,-3.685891360562505,8,14,3.6419875621795654,yfinance:SPY:2010-01-01:2024-12-31,0.00862781210272053,0.004423176869914022,0.9545151539174093,0.04548484608259071,0.01880010494348045,20
5,1,linear,40,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,17,2.723452091217041,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,1,random,40,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,14,2.557546854019165,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,1,linear,41,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,17,2.579453706741333,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
5,1,random,41,1.0750000000000002,100.0,0.006127636051348418,0.0064638883343386445,5.202012559590885,0.008321105204870878,-3.768230677524089,8,14,2.9825997352600098,yfinance:SPY:2010-01-01:2024-12-31,0.008634663643909876,0.004450772664179055,0.9544428841383683,0.045557115861631664,0.018843517730497958,21
