qubits,layers,connectivity,encoding_axis,seed,strength,alpha,validation_RMSE,validation_GARCH_RMSE,validation_gain_vs_GARCH_%,test_GARCH_RMSE,test_gain_vs_GARCH_%,cx_count,depth,elapsed,data_source,RMSE,MAE,R2,NMSE,QLIKE,validation_rank
9,1,grid,rz,41,0.8500000000000001,100.0,0.00593194109321899,0.0064638664433526215,8.22921319299006,0.00832107442297213,-2.5782106669171636,24,29,6.6130146980285645,yfinance:SPY:2010-01-01:2024-12-31,0.008535609251347314,0.0047152279054695065,0.9554819328583772,0.044518067141622715,0.017829805783614785,1
9,1,grid,rz,44,0.7250000000000001,100.0,0.0059589408780891424,0.0064638664433526215,7.811509870887566,0.00832107442297213,0.049046212010826436,24,29,5.700484752655029,yfinance:SPY:2010-01-01:2024-12-31,0.008316993251169061,0.004625010542776216,0.9577331436951969,0.04226685630480313,0.017212636494167172,2
9,1,grid,rz,42,0.7750000000000001,100.0,0.00598805804254866,0.0064638664433526215,7.361049380797128,0.00832107442297213,-3.4565043625949303,24,29,5.849912643432617,yfinance:SPY:2010-01-01:2024-12-31,0.008608692723416933,0.00476998006355651,0.9547163252712669,0.04528367472873306,0.01734053529847572,3
9,1,grid,rz,47,0.825,100.0,0.006034343964548339,0.0064638664433526215,6.6449776239730225,0.00832107442297213,-3.360217556756166,24,29,5.993854284286499,yfinance:SPY:2010-01-01:2024-12-31,0.008600680626643587,0.0047679788335617005,0.9548005769362152,0.04519942306378475,0.018002438799603296,4
9,1,grid,rz,46,0.75,100.0,0.006043719598438151,0.0064638664433526215,6.4999307859546755,0.00832107442297213,-0.9168934624378703,24,29,7.029698133468628,yfinance:SPY:2010-01-01:2024-12-31,0.008397369810360952,0.004625891912037276,0.9569122508103286,0.04308774918967136,0.01787711919633078,5
9,1,grid,rz,43,0.7250000000000001,100.0,0.006052760497128472,0.0064638664433526215,6.360062507896136,0.00832107442297213,0.289837442759798,24,29,5.774227619171143,yfinance:SPY:2010-01-01:2024-12-31,0.008296956833654449,0.004479569465660229,0.9579365480390645,0.042063451960935576,0.017218519362567,6
9,1,grid,rz,40,0.625,100.0,0.006090296026159061,0.0064638664433526215,5.779364726474764,0.00832107442297213,-0.3455958833450338,24,29,5.699814796447754,yfinance:SPY:2010-01-01:2024-12-31,0.008349831713627999,0.0046413579335877475,0.9573987154589795,0.04260128454102057,0.016895304334852288,7
9,1,grid,rz,45,0.7250000000000001,100.0,0.006092638986046073,0.0064638664433526215,5.743117692171925,0.00832107442297213,-1.2999941784617046,24,29,5.665602922439575,yfinance:SPY:2010-01-01:2024-12-31,0.008429247906056234,0.00468024040453241,0.9565844904356959,0.04341550956430405,0.017605571754471812,8
9,1,grid,ry,41,0.8,1000.0,0.006093021943866528,0.0064638664433526215,5.737193098527994,0.00832107442297213,-1.6796604488633917,24,29,5.771670818328857,yfinance:SPY:2010-01-01:2024-12-31,0.008460840218975281,0.004703737914009195,0.9562584431514669,0.043741556848533085,0.01722653720177743,9
9,1,grid,ry,44,0.75,100.0,0.006103466571421456,0.0064638664433526215,5.575608269285901,0.00832107442297213,-1.792247839977428,24,29,5.685355186462402,yfinance:SPY:2010-01-01:2024-12-31,0.008470208699580763,0.004623581819814648,0.9561615216182276,0.04383847838177238,0.017938424849185907,10
