Model,RMSE_v1,R2_v1,NMSE_v1,RMSE_v2,R2_v2,NMSE_v2,RMSE_delta
AR(5),0.0547778727244959,0.3178087084442842,0.6821912915557158,0.02567645299682662,0.8507016953378712,0.14929830466212882,-0.02910141972766928
ESN,0.0157909922552172,0.9433089256936952,0.0566910743063046,0.009833630825092556,0.978101588230216,0.02189841176978401,-0.005957361430124642
Persistence,0.1754809920119848,-6.000934390418259,7.000934390418259,0.00940757387859388,0.9799580445208965,0.020041955479103465,-0.16607341813339094
QRC 10q L2 rand,0.0448320311301895,0.5430457969630709,0.4569542030369292,0.02098147098774216,0.9003088321613811,0.09969116783861884,-0.02385056014244734
QRC 10q L3 rand,0.0450205497943465,0.53919473278739,0.46080526721261,0.02177779620965386,0.8925979237808266,0.10740207621917346,-0.02324275358469264
QRC 5q L2 all-,0.0450799487837314,0.5379779807108384,0.4620220192891616,0.021291384591677693,0.8973420405371968,0.10265795946280318,-0.023788564192053708
QRC 5q L2 rand,0.0437963316646958,0.5639148299177791,0.4360851700822209,0.020224730422892905,0.9073702907038347,0.09262970929616528,-0.023571601241802895
QRC 5q L3 all-,0.0447230310018835,0.5452650815381557,0.4547349184618443,0.0211723881184662,0.8984863341784559,0.1015136658215441,-0.023550642883417298
QRC 5q L3 rand,0.0453341587526685,0.5327525195594667,0.4672474804405332,0.021144102105683744,0.8987573946508695,0.10124260534913058,-0.02419005664698476
Ridge,0.0446317791196757,0.5471188505301667,0.4528811494698332,0.021550883157905387,0.8948244086434279,0.10517559135657205,-0.023080895961770317
