Model,RMSE_v2,R2_v2,NMSE_v2,RMSE_v3,R2_v3,NMSE_v3,RMSE_delta
AR(5),0.0256764529968266,0.8507016953378712,0.1492983046621288,0.009539004577155041,0.9793941629206104,0.02060583707938955,-0.01613744841967156
ESN,0.0098336308250925,0.978101588230216,0.021898411769784,0.009704400633246731,0.9786734020157883,0.021326597984211704,-0.00012923019184576945
Persistence,0.0094075738785938,0.9799580445208964,0.0200419554791034,0.009407563331837671,0.9799581204032547,0.0200418795967453,-1.0546756129894974e-08
QRC 10q L2 rand,0.0209814709877421,0.9003088321613811,0.0996911678386188,,,,
QRC 10q L2 rand [rec],,,,0.009920634075639876,0.9777124151696318,0.02228758483036817,
QRC 10q L2 rand [sta],,,,0.009851782681193761,0.9780207031861989,0.02197929681380106,
QRC 10q L3 rand,0.0217777962096538,0.8925979237808266,0.1074020762191734,,,,
QRC 10q L3 rand [rec],,,,0.009689410492481478,0.978739236436768,0.021260763563232088,
QRC 10q L3 rand [sta],,,,0.009744563108917963,0.9784965129087507,0.02150348709124928,
QRC 5q L2 all-,0.0212913845916776,0.8973420405371968,0.1026579594628031,,,,
QRC 5q L2 all- [rec],,,,0.009740446015395098,0.9785146795856977,0.021485320414302313,
QRC 5q L2 all- [sta],,,,0.009700837338793702,0.978689060684365,0.021310939315634953,
QRC 5q L2 rand,0.0202247304228929,0.9073702907038348,0.0926297092961652,,,,
QRC 5q L2 rand [rec],,,,0.009706773058879254,0.9786629733547768,0.021337026645223203,
QRC 5q L2 rand [sta],,,,0.009669613065347353,0.9788260277678262,0.02117397223217371,
QRC 5q L3 all-,0.0211723881184662,0.8984863341784559,0.1015136658215441,,,,
QRC 5q L3 all- [rec],,,,0.00988406782671735,0.9778764110235837,0.022123588976416333,
QRC 5q L3 all- [sta],,,,0.009747225318366018,0.9784847618213481,0.02151523817865182,
QRC 5q L3 rand,0.0211441021056837,0.8987573946508695,0.1012426053491305,,,,
QRC 5q L3 rand [rec],,,,0.009740987384415284,0.9785122912330332,0.021487708766966818,
QRC 5q L3 rand [sta],,,,0.009681181122618475,0.9787753353073393,0.021224664692660707,
Ridge,0.0215508831579053,0.8948244086434279,0.105175591356572,0.009760181015636757,0.9784275290904304,0.021572470909569628,-0.011790702142268543
