Model,Regime,VIX_lo,VIX_hi,n_days,RMSE,MAE,R2,QLIKE
Persistence,calm,11.86,15.38,249,0.005811985419064856,0.0033992010240054445,0.9493738202901123,0.006711047599188804
Persistence,normal,15.38,21.16,248,0.007013115939145267,0.004757077695323315,0.9687412431819977,0.005969880929577964
Persistence,turbulent,21.16,38.57,249,0.013505052145688898,0.008556306451550819,0.9410539484211937,0.01390863794327556
"GARCH(1,1)",calm,11.86,15.38,249,0.005902932571809222,0.004509757094891317,0.9477770057288907,0.006460326474454092
"GARCH(1,1)",normal,15.38,21.16,248,0.006007514641524216,0.0040191219695846925,0.9770628560318646,0.004097420039582345
"GARCH(1,1)",turbulent,21.16,38.57,249,0.01088376473274438,0.007530774005025378,0.9617157203741142,0.010018964946487118
ESN (200 nodes),calm,11.86,15.38,249,0.005460042619239513,0.0037070041479451764,0.9553194830101308,0.006076467556147336
ESN (200 nodes),normal,15.38,21.16,248,0.0069637574987495374,0.005147874909441853,0.9691796942434822,0.005934543480723808
ESN (200 nodes),turbulent,21.16,38.57,249,0.014284152926230849,0.010253649420858236,0.9340566249308927,0.01432244873755754
AR(5),calm,11.86,15.38,249,0.005736651422608683,0.0035265480106991026,0.9506777310114384,0.006600993103918345
AR(5),normal,15.38,21.16,248,0.006935667155932919,0.004985234262747878,0.9694278381000999,0.005835703132580384
AR(5),turbulent,21.16,38.57,249,0.01384894260552525,0.009329456513837217,0.938013741971388,0.015085774556022823
QRC v3 gate (5q L2 rand),calm,11.86,15.38,249,0.0056524399416588616,0.003615972540339916,0.9521151603545864,0.006376705036410115
QRC v3 gate (5q L2 rand),normal,15.38,21.16,248,0.007010956205225805,0.005193584615147068,0.9687604928857829,0.005864189937410002
QRC v3 gate (5q L2 rand),turbulent,21.16,38.57,249,0.01411465483261026,0.009843554962265908,0.9356123294552408,0.01406863986872907
ANN 10q a2a (5-seed mean),calm,11.86,15.38,249,0.005585500661816325,0.003499147585948043,0.9532426015317703,0.006313768465629409
ANN 10q a2a (5-seed mean),normal,15.38,21.16,248,0.006942012630240999,0.005027143410240383,0.969371871281935,0.005813605156501815
ANN 10q a2a (5-seed mean),turbulent,21.16,38.57,249,0.013719889808483956,0.009389826530971191,0.9391636099608195,0.013904664663630542
