Model,RMSE,MAE,R2,NMSE,QLIKE,mz_intercept,mz_slope,mz_r2,mz_pvalue,elapsed,seed
Persistence,0.00940757335581158,0.005571952586935244,0.9799581283266513,0.020041871673348713,0.008867067252827026,0.0016169672958600354,0.9900052374558654,0.9800580361340114,0.155098732785649,0.0,0
AR(5),0.009539009480530039,0.005948368932668925,0.9793941937946934,0.020605806205306634,0.009178632069980276,-0.000794898384583832,1.0131581619028172,0.9799588273341429,2.8075641966274212e-05,0.015684843063354492,0
Ridge,0.009760178989038241,0.006278395530986185,0.9784275925493326,0.02157240745066733,0.008944315294707472,0.0007851390588655613,1.00047980101468,0.9785963848919484,0.053202400240753955,0.005789756774902344,0
ESN (200 nodes),0.009704405680758487,0.006371147072618806,0.9786734337099644,0.02132656629003556,0.008781631287335147,0.0014766097583900377,0.9950150855757154,0.9787993812706909,0.10970516590464485,0.31772470474243164,0
"GARCH(1,1)",0.007947744343890128,0.0053550060218984724,0.9856955610840502,0.014304438915949834,0.00686260554106003,-0.0024532336575461477,1.0156760097570776,0.9859324708517668,0.00190206970648088,0.32169556617736816,0
"LSTM (1L, 32h)",0.01066227694286255,0.006956889393411192,0.9742555885552397,0.025744411444760272,0.009951699112955167,0.0013230458336126526,1.0084424984495317,0.9759428956825114,4.6638248818453576e-12,14.656657457351685,0
QRC v3 gate (5q L2 rand),0.009669628923196174,0.00621907685349239,0.9788260118122764,0.0211739881877237,0.008773739927422705,0.00043328840549887454,1.0017700783181904,0.978946442328913,0.11908548195576107,22.752771377563477,0
ANN 10q a2a t=2.0 a=1.0,0.00942749996525178,0.006034960206195829,0.9798731352062365,0.020126864793763508,0.008734859636088294,-0.00038817382196445674,1.0062559305108694,0.9799996175915825,0.09512842380230735,132.26937675476074,42
ANN 10q a2a t=2.0 a=1.0,0.009503205964796488,0.006046337231137432,0.9795485862945097,0.020451413705490255,0.008719030498166398,-0.00042083315565202026,1.00608595839353,0.9796568969247647,0.13798637839499128,118.68728518486023,43
ANN 10q a2a t=2.0 a=1.0,0.009686559791337384,0.006128875479540573,0.9787517984470498,0.021248201552950124,0.008948404416222336,-0.00039842234114849184,1.0067359738827188,0.978904250113648,0.06799541225211558,131.4659206867218,44
ANN 10q a2a t=2.0 a=1.0,0.009546194753518521,0.006048143025752834,0.9793631393952574,0.02063686060474253,0.008721886156319377,-0.00015342190447262675,1.0045758710435302,0.9794618114614884,0.167427010398277,193.54872822761536,45
ANN 10q a2a t=2.0 a=1.0,0.009496794594716137,0.006050949963068493,0.9795761722169044,0.020423827783095594,0.008720823183207256,-0.00038331904283251116,1.0059764921883427,0.9796883359931088,0.1281908934031325,204.3932375907898,46
ANN 10q a2a (5-seed mean),0.009447921815470856,0.005973305792027485,0.979785843134332,0.020214156865668007,0.008681184890077987,-0.0004097952282645668,1.006302118091316,0.9799089444645175,0.10235504795626871,0.0,0
