Model,RMSE,MAE,R2,NMSE,QLIKE,mz_intercept,mz_slope,mz_r2,mz_pvalue,elapsed,seed,config
"GARCH(1,1) standalone",0.00794774730576696,0.005355008077029611,0.9856955808089309,0.014304419191069112,0.006862618384814686,-0.002453235228830429,1.0156760641899818,0.9859324926143656,0.0019019487824711856,0.0,0,garch_only
Ridge + GARCH-feature (Persistence resid.),0.008011389952722405,0.005112924177990115,0.9854655744878085,0.014534425512191577,0.006721800922412436,0.0013264390257459967,0.9924780306353652,0.9855246184011822,0.21929047372749455,0.00585174560546875,0,A-ridge
QRC + GARCH-feature (Persistence resid.),0.007927569889980652,0.005140875344424767,0.9857681195614344,0.014231880438565563,0.006645114449579754,0.0008295309119057772,0.9959996897880151,0.9857913223675911,0.5447234654859804,185.03334879875183,42,A-qrc
QRC + GARCH-feature (Persistence resid.),0.008013666360143161,0.005237339513575699,0.9854573135056418,0.014542686494358241,0.006646700280581034,0.0008564739002520575,0.9952173811197148,0.9854814818775036,0.5383464450767477,184.71986532211304,43,A-qrc
QRC + GARCH-feature (Persistence resid.),0.008086877696753045,0.005327671654776481,0.9851903812754066,0.014809618724593373,0.006792536214209101,0.0009732389957773966,0.9949425700629901,0.985221025431077,0.46239264234853916,185.50624227523804,44,A-qrc
QRC + GARCH-feature (3-seed ensemble),0.007862366429904668,0.005089400387801321,0.9860012683422054,0.013998731657794678,0.006569480932868676,0.000800381250337061,0.9959158413347563,0.9860220764970373,0.5747755117188948,0.0,0,A-qrc-ensemble
Ridge on GARCH-residual target,0.008051085073397902,0.005157937352614008,0.9853211862820614,0.014678813717938534,0.006675718273828989,0.0014360671819993037,0.9915772633132424,0.9853932888272579,0.1594078379928543,0.0041387081146240234,0,B-ridge
QRC on GARCH-residual target,0.007936535424689847,0.00516965529636981,0.9857359108086402,0.014264089191359807,0.0065874738169264405,0.0009263493959912627,0.995148275439818,0.9857636436850491,0.48448541298105086,180.14901542663574,42,B-qrc
QRC on GARCH-residual target,0.008032022529024537,0.00525420525656136,0.9853906140115771,0.014609385988422909,0.006594356967708778,0.000940768339752937,0.9944709121199378,0.9854214674933777,0.45507751891614767,183.27760648727417,43,B-qrc
QRC on GARCH-residual target,0.00809978854925164,0.005365332788929021,0.9851430558573347,0.014856944142665269,0.006687425320302517,0.0013927665068129398,0.9901423327054939,0.9852509662568748,0.06576186041727328,180.5021665096283,44,B-qrc
QRC on GARCH-residual (3-seed ensemble),0.007843986065003666,0.0051110896216726535,0.9860666433263781,0.013933356673621989,0.006445012521797389,0.000984511647530671,0.9938795865458264,0.9861040665597886,0.3672046968895317,0.0,0,B-qrc-ensemble
