Model,RMSE,MAE,R2,QLIKE,config,n_atoms,alpha,secs
Persistence,0.01569063256611249,0.007016845740726985,0.6652964908816017,0.08057027692185585,,,,
ESN (200 nodes),0.0162674586001477,0.009323618715976834,0.6402351072098083,0.07837267781333827,,,,
QuEra 6 rand2d T4 ld2.5,0.015485201933589567,0.007220564445331415,0.6740033727333803,0.07772789102432082,6 rand2d T4 ld2.5,6.0,100.0,240.9
QuEra 6 rand2d T2 ld2.5,0.015454636672252858,0.0072849585158882325,0.6752890309153294,0.0789004821794724,6 rand2d T2 ld2.5,6.0,100.0,234.9
QuEra 6 chain  T4 ld2.5,0.015800613124991442,0.007500649499581229,0.6605879632518802,0.08467268148650156,6 chain  T4 ld2.5,6.0,100.0,234.4
QuEra 6 ring   T4 ld2.5,0.015289233115693286,0.007468751009823292,0.6822022884619966,0.07130502530648757,6 ring   T4 ld2.5,6.0,100.0,235.4
QuEra 6 rand2d T4 ld1.5,0.015558779105817107,0.007646276733331723,0.6708980991920377,0.08356381335404235,6 rand2d T4 ld1.5,6.0,100.0,233.9
QuEra 6 rand2d T4 ld4.0,0.01577269501130203,0.00696710348913755,0.6617863183290669,0.08221822261273377,6 rand2d T4 ld4.0,6.0,1000.0,246.4
QuEra 5 rand2d T4 ld2.5,0.015196988553856374,0.006756439509048778,0.686025459575095,0.07544426424230825,5 rand2d T4 ld2.5,5.0,100.0,197.9
QuEra 8 rand2d T4 ld2.5,0.015453216685652168,0.007009516694586942,0.6753486976745684,0.0773202290208094,8 rand2d T4 ld2.5,8.0,1000.0,1475.0
